Wavelength (nm),Absorption Coefficient (cm-1)
407.5311761349743,0.0
407.54778497778864,0.0
407.56439517443755,0.0
407.58100672508664,0.0
407.5976196299014,0.0
407.6142338890474,0.0
407.63084950269035,0.0
407.6474664709959,0.0
407.6640847941296,0.0
407.68070447225733,0.0
407.6973255055447,0.0
407.71394789415746,0.0
407.73057163826144,0.0
407.7471967380224,0.0
407.76382319360624,0.0
407.7804510051788,0.0
407.79708017290596,0.0
407.81371069695365,0.0
407.8303425774878,0.0
407.84697581467435,0.0
407.86361040867934,0.0
407.8802463596688,0.0
407.89688366780877,0.0
407.91352233326535,0.0
407.9301623562046,0.0
407.94680373679273,0.0
407.96344647519584,0.0
407.9800905715801,0.0
407.9967360261118,0.0
408.0133828389571,0.0
408.03003101028236,0.0
408.0466805402538,0.0
408.06333142903776,0.0
408.0799836768007,0.0
408.0966372837088,0.0
408.1132922499286,0.0
408.1299485756265,0.0
408.14660626096895,0.0
408.16326530612247,0.0
408.17992571125353,0.0
408.1965874765287,0.0
408.21325060211456,0.0
408.2299150881777,0.0
408.24658093488466,0.0
408.26324814240223,0.0
408.279916710897,0.0
408.2965866405357,0.0
408.31325793148505,0.0
408.3299305839118,0.0
408.3466045979828,0.0
408.36327997386473,0.0
408.37995671172456,0.0
408.39663481172914,0.0
408.4133142740453,0.0
408.42999509884004,0.0
408.44667728628025,0.0
408.46336083653296,0.0
408.4800457497651,0.0
408.4967320261438,0.0
408.513419665836,0.0
408.5301086690089,0.0
408.54679903582957,0.0
408.5634907664651,0.0
408.58018386108273,0.0
408.5968783198496,0.0
408.61357414293303,0.0
408.63027133050014,0.0
408.64696988271834,0.0
408.6636697997548,0.0
408.68037108177697,0.0
408.6970737289521,0.0
408.71377774144764,0.0
408.730483119431,0.0
408.7471898630697,0.0
408.7638979725311,0.0
408.7806074479827,0.0
408.797318289592,0.0
408.8140304975267,0.0
408.8307440719542,0.0
408.8474590130422,0.0
408.8641753209584,0.0
408.8808929958703,0.0
408.8976120379457,0.0
408.9143324473523,0.0
408.93105422425776,0.0
408.94777736883,0.0
408.9645018812367,0.0
408.98122776164575,0.0
408.9979550102249,0.0
409.01468362714223,0.0
409.0314136125655,0.0
409.04814496666256,0.0
409.0648776896016,0.0
409.0816117815504,0.0
409.09834724267716,0.0
409.1150840731498,0.0
409.1318222731364,0.0
409.1485618428051,0.0
409.16530278232403,0.0
409.18204509186137,0.0
